FY,FY_StartYear,Stage,Component,Sector,Ministry,Scheme,Allocation_Cr
2022-2023,2022,Budget Estimates,Total,Demand No. 47,Department of Health Research,COVID-19 Emergency Response and Health System Preparedness Package-EAP,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 47,Department of Health Research,Prime Minister's Ayushman Bharat Health Infrastructure Mission (PM-ABHIM)-Bio Security Preparedness and strengthening Pandemic Research and Multi Sector and National Institutions and Platform for One Health,690.0
2022-2023,2022,Budget Estimates,Total,Demand No. 48,Ministry of Heavy Industries,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).,2908.28
2022-2023,2022,Budget Estimates,Total,Demand No. 48,Ministry of Heavy Industries,Development Council for Automobile and Allied Industries,28.62
2022-2023,2022,Budget Estimates,Total,Demand No. 48,Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components,3.0
2022-2023,2022,Budget Estimates,Total,Demand No. 48,Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for National Programme on Advanced Chemistry Cell (ACC) Battery Storage,3.0
2022-2023,2022,Budget Estimates,Total,Demand No. 48,Ministry of Heavy Industries,Enhancement of Competitiveness in the Indian Capital Goods Sector,200.0
2022-2023,2022,Budget Estimates,Total,Demand No. 48,Ministry of Heavy Industries,Industry Associations and PSUs for undertaking promotional activities,0.25
2022-2023,2022,Budget Estimates,Total,Demand No. 49,Ministry of Home Affairs,Relief and Rehabilitation for migrants and repatriates,299.76
2022-2023,2022,Budget Estimates,Total,Demand No. 49,Ministry of Home Affairs,Freedom Fighters (pension and other benefits),688.14
2022-2023,2022,Budget Estimates,Total,Demand No. 49,Ministry of Home Affairs,Helicopter Services,116.0
2022-2023,2022,Budget Estimates,Total,Demand No. 49,Ministry of Home Affairs,Infrastructure for Disaster Management,86.04
2022-2023,2022,Budget Estimates,Total,Demand No. 49,Ministry of Home Affairs,National Cyclone Risk Mitigation Project,300.0
2022-2023,2022,Budget Estimates,Total,Demand No. 49,Ministry of Home Affairs,Other Disaster Management Schemes,106.74
2022-2023,2022,Budget Estimates,Total,Demand No. 49,Ministry of Home Affairs,Civic Action Programme and Media Plan,25.0
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,"IVFRT (Immigration, Visa and Foreigners Registration and Tracking)",175.0
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,"BSF Air Wing, Aircrafts, River Boats and Helibase",157.33
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Border Infrastructure and Management,2744.52
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Police Infrastructure,3918.84
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Narcotics Control Bureau,5.0
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Schemes for Safety of Women,200.0
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Indian Cyber Crime Coordination Centre,59.0
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Modernization Plan IV for Central Armed Police Forces,248.3
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Inter Operable Criminal Justice System,590.6
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Emergency Response Support System,150.0
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Modernization of Prisons,400.0
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Women Help Desk /Strengthening of Anti Human Trafficking Bureau,28.0
2022-2023,2022,Budget Estimates,Total,Demand No. 51,Police,Modernization of Forensic Capacities,300.0
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,Metro Projects,19130.0
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,Kochi Metro Rail Project Phase 1 A,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,Transport Planning and Capacity Building in Urban Transport,35.0
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,National Capital Region Transport Corporation,4710.0
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,Residential,873.02
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,Non-residential,2600.99
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,North Eastern Regional Urban Development Project (NERUDP),0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,Champion Services Sector Scheme - Nirman Kaushal Vikash Yojana,0.01
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,Prime Minister's Street Vendors' Atmanirbhar Nidhi (PM SVANIDHI),150.0
2022-2023,2022,Budget Estimates,Total,Demand No. 60,Ministry of Housing and Urban Affairs,Public Health Engineering (PHE) Sector Development Scheme,2.0
2022-2023,2022,Budget Estimates,Total,Demand No. 61,Ministry of Information and Broadcasting,Prasar Bharati,315.0
2022-2023,2022,Budget Estimates,Total,Demand No. 61,Ministry of Information and Broadcasting,Information,184.0
2022-2023,2022,Budget Estimates,Total,Demand No. 61,Ministry of Information and Broadcasting,Films,127.16
2022-2023,2022,Budget Estimates,Total,Demand No. 61,Ministry of Information and Broadcasting,Strengthening of Broadcasting Activities,3.84
2022-2023,2022,Budget Estimates,Total,Demand No. 61,Ministry of Information and Broadcasting,Broadcasting Infrastructure Network Development,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 61,Ministry of Information and Broadcasting,Development Communication and Dissemination of Filmic Content,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 61,Ministry of Information and Broadcasting,Development Communication and Information Dissemination,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 61,Ministry of Information and Broadcasting,Supporting Community Radio Movement in India,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Farakka Barrage Project,110.98
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Dam Rehabilitation and Improvement Programme,100.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National Ganga Plan and Ghat Works,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National Ganga Plan,2800.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National River Conservation Plan,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",River Basin Management,97.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Development of Water Resources Information System,185.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Ground Water Management and Regulation,375.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National Hydrology Project,800.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Research and Development and Implementation of National Water Mission,52.88
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",HRD/Capacity Building Programme,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Infrastructure Development,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Atal Bhujal Yojna,700.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,Labour and Employment Statistical System (LESS),89.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,Labour Welfare Scheme,120.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,Bima Yojana for Unorganised Workers,0.1
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,"Employees Pension Scheme, 1995",8485.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,Social Security for Plantation Workers in Assam,60.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,Pradhan Mantri Shram Yogi Maandhan,350.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,Pradhan Mantri Karam Yogi Maandhan,50.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,Aatmanirbhar Bharat Rojgar Yojana,6400.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,National database for Unorganized Workers,500.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,National Child Labour Project including grants in aid to voluntary agencies and reimbursement of assistance to bonded labour,30.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,"Coaching and Guidance for SC,ST and Other Backward Classes",0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 64,Ministry of Labour and Employment,National Career Services,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 65,Law and Justice,Designing Innovative Solutions for Holistic Access to Justice in India(DISHA),40.0
2022-2023,2022,Budget Estimates,Total,Demand No. 65,Law and Justice,e-Courts Phase II,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 65,Law and Justice,e-Courts Phase III,1.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Khadi Grant (KG),0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Scheme for Fund for Regeneration of Traditional Industries (SFURTI),334.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Coir Vikas Yojana,80.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Solar Charkha Mission,5.04
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Khadi Vikas Yojana,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Gramodyog Vikas Yojana,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Khadi Gramodyog Vikas Yojana,748.99
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","ASPIRE (Promotion of Innovation, Rural Industry and Entrepreneurship)",20.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Credit Linked Capital Subsidy and Technology Upgradation Scheme,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",MSME Champions Scheme,60.72
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Prime Minister Employment Generation Programme (PMEGP),2500.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Credit Support Programme,0.08
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Interest Subvention Scheme for Incremental Credit to MSMEs,0.04
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Distressed Assets Fund,100.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers,15000.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Credit Linked Capital Subsidy (CLCS),0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Procurement and Marketing Support Scheme,24.96
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",International Cooperation Scheme,13.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","Studies, Publicity & International Cooperation (SPIC)",0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Mahatma Gandhi Institute for Rural Industrialisation,10.41
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Promotional Services Institutions and Programme,182.82
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","Information, Education and Communication",6.76
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Assistance to Training Institutions,32.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Fund of Funds,486.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Entrepreneurship cum Skill Development Programme (ESDP),0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building.,588.03
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Establishment of New Technology Centres,80.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building- EAP Component,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Technology Centre Systems Programme (TCSP) EAP,205.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Construction of Office Accomodation- Capital Outlay on Public Works,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Raising and Accelerating MSME Performance - RAMP,723.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Micro and Small Enterprise-Cluster Development Programme (MSE-CDP),0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Tool Rooms & Technical Institutions (TR/TIs),0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Promotion of MSMEs in NER and Sikkim,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Database Research Evaluation and Other Office Support Programme,2.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","Survey, Studies and Policy Research",5.0
2022-2023,2022,Budget Estimates,Total,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",National Schedule Caste/Schedule Tribe Hub Centre,150.0
2022-2023,2022,Budget Estimates,Total,Demand No. 70,Ministry of Minority Affairs,Quami Waqf Board Taraqqiati Scheme and Sahari Waqf Sampati Vikas Yojna,15.0
2022-2023,2022,Budget Estimates,Total,Demand No. 70,Ministry of Minority Affairs,Education  Empowerment,2515.0
2022-2023,2022,Budget Estimates,Total,Demand No. 70,Ministry of Minority Affairs,Skill  Development and Livelihoods,491.91
2022-2023,2022,Budget Estimates,Total,Demand No. 70,Ministry of Minority Affairs,Special  Programmes of Minorities,53.0
2022-2023,2022,Budget Estimates,Total,Demand No. 70,Ministry of Minority Affairs,PM-Viraasat Ka Samvardhan (PM VIKAS),0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Solar Power (Off-Grid),61.5
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Other Renewable Energy Applications (OREA),0.1
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Interest Payment and Issuing Expenses on the Bonds,124.36
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Hydro Power (Grid),50.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Hydro Power (Off-Grid),2.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Green Energy Corridor,300.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Bio Energy Programme,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Support Programme,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Kisan Urja Suraksha evam Utthaan Mahabhiyan (KUSUM ),1715.9
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,National Green Hydrogen Mission,0.01
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Solar Power (Grid),3304.03
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Wind Power (Grid),1050.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Bio Power (Grid),50.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Bio Power (Off-Grid),20.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Biogas Programme (Off-Grid),30.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Monitoring and Evaluation,0.1
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Information and Public Advertising (I&PA),6.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Human Resources Development and Training,30.93
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,International Relations,8.0
2022-2023,2022,Budget Estimates,Total,Demand No. 71,Ministry of New and Renewable Energy,Research and Development,35.0
2022-2023,2022,Budget Estimates,Total,Demand No. 72,Ministry of Panchayati Raj,Action Research,3.0
2022-2023,2022,Budget Estimates,Total,Demand No. 72,Ministry of Panchayati Raj,International Contribution,0.2
2022-2023,2022,Budget Estimates,Total,Demand No. 72,Ministry of Panchayati Raj,Media and Publicity,10.0
2022-2023,2022,Budget Estimates,Total,Demand No. 72,Ministry of Panchayati Raj,Svamitva,150.0
2022-2023,2022,Budget Estimates,Total,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Training Schemes,210.75
2022-2023,2022,Budget Estimates,Total,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",National Programme for Civil Services Capacity Building,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Administrative Reforms and Pensioners' Scheme,44.25
2022-2023,2022,Budget Estimates,Total,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Scheme for Administrative Reforms,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Pensioner's Portal,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Integrated Building for Institute of Secretariat Training and Management (ISTM) and other Institute of Department of Personnel and Training (DoPT),0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Payment of differential royalty to State Governments,1.11
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems),600.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Payment to ISPRL for Strategic Crude Oil Reserve (O and M),210.58
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Pradhan Mantri JI-VAN Yojna,314.36
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,National Bio-Fuel Fund,1.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Direct Benefit Transfer - LPG,4000.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,LPG Connection to Poor Households,800.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Other subsidy payable including for North Eastern Region,811.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Feedstock Subsidy to BCPL/Assam Gas Cracker Complex,137.5
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Project Management Expenditure,64.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Direct  Benefit Transfer- Kerosene,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Phulpur Dhamra Haldia Pipeline Project,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,National Seismic Programme,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid,1798.27
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Numaligarh Refinery Expansion Project,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,One-time Grant to PSU OMCs for under recoveries in Domestic LPG,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Capital Support to Oil Marketing Companies,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 76,Ministry of Petroleum and Natural Gas,Scheme for promotion of flagging of merchant ships in India,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 77,Ministry of Planning,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU),155.31
2022-2023,2022,Budget Estimates,Total,Demand No. 77,Ministry of Planning,Ongoing Programme and Schemes,6.75
2022-2023,2022,Budget Estimates,Total,Demand No. 77,Ministry of Planning,Official Development Assistance for Sustainable Development Goals (EAP Component),0.01
2022-2023,2022,Budget Estimates,Total,Demand No. 77,Ministry of Planning,State Support Mission,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 78,"Ministry of Ports, Shipping and Waterways",Research and Development (Ports),1.0
2022-2023,2022,Budget Estimates,Total,Demand No. 78,"Ministry of Ports, Shipping and Waterways",Sagarmala,412.79
2022-2023,2022,Budget Estimates,Total,Demand No. 78,"Ministry of Ports, Shipping and Waterways","Assistance to Ship Building, Research and Development",112.0
2022-2023,2022,Budget Estimates,Total,Demand No. 78,"Ministry of Ports, Shipping and Waterways",Grants to Inland Water Transport Authority of India,20.0
2022-2023,2022,Budget Estimates,Total,Demand No. 78,"Ministry of Ports, Shipping and Waterways",IWAI Projects,76.5
2022-2023,2022,Budget Estimates,Total,Demand No. 78,"Ministry of Ports, Shipping and Waterways",Actual Recoveries,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 79,Ministry of Power,Energy Conservation Schemes,60.0
2022-2023,2022,Budget Estimates,Total,Demand No. 79,Ministry of Power,Deen Dayal Upadhyaya Gram Jyoti Yojna,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 79,Ministry of Power,Integrated Power Development Scheme,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 79,Ministry of Power,Strengthening of Power Systems,2975.73
2022-2023,2022,Budget Estimates,Total,Demand No. 79,Ministry of Power,Power System Development Fund,604.48
2022-2023,2022,Budget Estimates,Total,Demand No. 79,Ministry of Power,Reform Linked Distribution Scheme,7565.59
2022-2023,2022,Budget Estimates,Total,Demand No. 79,Ministry of Power,Scheme for Promoting Energy Efficiency activities in different sectors of Indian Economy,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Transfer to Central Road and Infrastructure Fund,52700.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Transfer to National Investment Fund,50000.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,New Lines,25243.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Gauge Conversion,2850.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Doubling,12108.08
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Computerisation,470.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Traffic Facilities - Yard Remodelling and Others,2045.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Railway Research,51.05
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Rolling Stock,7977.84
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Leased assets - Payment of Capital Component,22188.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Road Safety Works - Level Crossings,1000.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Road Safety Works - Road Over/Under Bridges,6500.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Track Renewals,13335.47
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,"Bridge Works, Turnnel Works and Approaches",940.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Signalling and Telecom,2500.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Electrification Projects,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Other Electrical Works,650.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Machinery and Plant,600.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Workshop Including Production Units,2045.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Staff Welfare,495.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Customer Amenities,2700.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Investment in PSU/JV/SPV etc.,38686.59
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Other Specified Works,740.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Training/Human Resource Development,335.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Stores Suspense,20880.32
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Manufacturing Suspense,47065.22
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Miscellaneous Advances,1082.13
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Metropolitan Transportation Projects,2000.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Transfer to Rashtirya Rail Sanraksha Kosh,12000.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Transfer to Railway Safety Fund,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Sovereign Green Fund,0.0
2022-2023,2022,Budget Estimates,Total,Demand No. 85,Ministry of Railways,Amount met from,-192087.7
2022-2023,2022,Budget Estimates,Total,Demand No. 86,Ministry of Road Transport and Highways,National Highways Authority of India,134015.0
2022-2023,2022,Budget Estimates,Total,Demand No. 86,Ministry of Road Transport and Highways,Road Works,64567.86
